               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,             0.10929,            0.054019,                   0,           0.0033333,              0.0625,           0.0028041,          0.00084124,             0.10544,            0.060295,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,             0.10471,            0.049424,                   0,           0.0033333,              0.0625,           0.0028041,          0.00084124,             0.10544,            0.060295,                   0,            0.004456,            0.004456,            0.004456
                 114,             0.11096,            0.077504,                   0,           0.0033333,              0.0625,           0.0028041,          0.00084124,             0.10544,            0.060295,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,             0.10999,            0.081087,                   0,           0.0033333,              0.0625,           0.0028041,          0.00084124,             0.10544,            0.060295,                   0,            0.004357,            0.004357,            0.004357
                 116,             0.11132,             0.05216,                   0,           0.0033333,              0.0625,           0.0028041,          0.00084124,             0.10544,            0.060295,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,             0.11377,            0.046101,                   0,           0.0033333,              0.0625,           0.0028041,          0.00084124,             0.10544,            0.060295,                   0,            0.004258,            0.004258,            0.004258
                 118,             0.10952,            0.036241,                   0,           0.0033333,              0.0625,           0.0032647,           0.0009794,             0.10433,            0.061356,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,             0.11396,            0.050629,                   0,           0.0033333,              0.0625,           0.0032647,           0.0009794,             0.10433,            0.061356,                   0,            0.004159,            0.004159,            0.004159
                 120,              0.1069,            0.047254,                   0,           0.0033333,              0.0625,           0.0032647,           0.0009794,             0.10433,            0.061356,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,             0.11415,            0.051108,                   0,           0.0033333,              0.0625,           0.0032647,           0.0009794,             0.10433,            0.061356,                   0,             0.00406,             0.00406,             0.00406
                 122,             0.10633,            0.061999,                   0,           0.0033333,              0.0625,           0.0032647,           0.0009794,             0.10433,            0.061356,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,             0.11356,             0.04897,                   0,           0.0033333,              0.0625,           0.0032647,           0.0009794,             0.10433,            0.061356,                   0,            0.003961,            0.003961,            0.003961
                 124,             0.11074,            0.044972,                   0,           0.0033333,              0.0625,           0.0032647,           0.0009794,             0.10433,            0.061356,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,             0.10449,            0.026231,                   0,           0.0033333,              0.0625,           0.0032647,           0.0009794,             0.10433,            0.061356,                   0,            0.003862,            0.003862,            0.003862
                 126,             0.11564,             0.03667,                   0,           0.0033333,              0.0625,           0.0032647,           0.0009794,             0.10433,            0.061356,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,             0.10872,            0.060388,                   0,           0.0033333,              0.0625,           0.0032647,           0.0009794,             0.10433,            0.061356,                   0,            0.003763,            0.003763,            0.003763
                 128,             0.11099,            0.054203,                   0,           0.0033333,              0.0625,           0.0032647,           0.0009794,             0.10433,            0.061356,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,             0.11485,            0.040412,                   0,           0.0033333,              0.0625,           0.0032647,           0.0009794,             0.10433,            0.061356,                   0,            0.003664,            0.003664,            0.003664
                 130,             0.10942,              0.0505,                   0,           0.0033333,              0.0625,           0.0032647,           0.0009794,             0.10433,            0.061356,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,             0.11219,            0.047292,                   0,           0.0033333,              0.0625,            0.023221,             0.01161,             0.10185,            0.063703,                   0,            0.003565,            0.003565,            0.003565
                 132,             0.10989,            0.032743,                   0,           0.0033333,              0.0625,            0.023221,             0.01161,             0.10185,            0.063703,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,             0.11223,            0.059577,                   0,           0.0033333,              0.0625,            0.023221,             0.01161,             0.10185,            0.063703,                   0,            0.003466,            0.003466,            0.003466
                 134,             0.10915,            0.055918,                   0,           0.0033333,              0.0625,            0.023221,             0.01161,             0.10185,            0.063703,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,             0.10876,            0.041001,                   0,           0.0033333,              0.0625,            0.023221,             0.01161,             0.10185,            0.063703,                   0,            0.003367,            0.003367,            0.003367
                 136,             0.11061,            0.066282,                   0,           0.0033333,              0.0625,            0.023221,             0.01161,             0.10185,            0.063703,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,             0.10834,            0.036765,                   0,           0.0033333,              0.0625,            0.023221,             0.01161,             0.10185,            0.063703,                   0,            0.003268,            0.003268,            0.003268
                 138,             0.10712,            0.057893,                   0,           0.0033333,              0.0625,            0.023221,             0.01161,             0.10185,            0.063703,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,             0.10705,            0.059031,                   0,           0.0033333,              0.0625,            0.023221,             0.01161,             0.10185,            0.063703,                   0,            0.003169,            0.003169,            0.003169
                 140,             0.10462,            0.066502,                   0,           0.0033333,              0.0625,            0.023221,             0.01161,             0.10185,            0.063703,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,             0.10957,            0.049722,                   0,           0.0033333,              0.0625,            0.023221,             0.01161,             0.10185,            0.063703,                   0,             0.00307,             0.00307,             0.00307
                 142,             0.11103,            0.047185,                   0,           0.0033333,              0.0625,            0.023221,             0.01161,             0.10185,            0.063703,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,             0.10653,            0.048734,                   0,           0.0033333,              0.0625,            0.023221,             0.01161,             0.10185,            0.063703,                   0,            0.002971,            0.002971,            0.002971
                 144,             0.10571,             0.05487,                   0,           0.0033333,              0.0625,           0.0018841,          0.00037682,            0.099133,            0.066162,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,             0.11449,            0.062764,                   0,           0.0033333,              0.0625,           0.0018841,          0.00037682,            0.099133,            0.066162,                   0,            0.002872,            0.002872,            0.002872
                 146,             0.11208,            0.029634,                   0,           0.0033333,              0.0625,           0.0018841,          0.00037682,            0.099133,            0.066162,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,              0.1117,            0.036584,                   0,           0.0033333,              0.0625,           0.0018841,          0.00037682,            0.099133,            0.066162,                   0,            0.002773,            0.002773,            0.002773
                 148,             0.11051,            0.042645,                   0,           0.0033333,              0.0625,           0.0018841,          0.00037682,            0.099133,            0.066162,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,             0.11003,            0.043445,                   0,           0.0033333,              0.0625,           0.0018841,          0.00037682,            0.099133,            0.066162,                   0,            0.002674,            0.002674,            0.002674
                 150,             0.11509,            0.042223,                   0,           0.0033333,              0.0625,           0.0018841,          0.00037682,            0.099133,            0.066162,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,             0.11404,            0.040883,                   0,           0.0033333,              0.0625,           0.0018841,          0.00037682,            0.099133,            0.066162,                   0,            0.002575,            0.002575,            0.002575
                 152,             0.10864,            0.064314,                   0,           0.0033333,              0.0625,           0.0018841,          0.00037682,            0.099133,            0.066162,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,             0.10942,            0.061424,                   0,           0.0033333,              0.0625,           0.0018841,          0.00037682,            0.099133,            0.066162,                   0,            0.002476,            0.002476,            0.002476
                 154,             0.11447,            0.062562,                   0,           0.0033333,              0.0625,           0.0018841,          0.00037682,            0.099133,            0.066162,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,             0.10671,            0.058963,                   0,           0.0033333,              0.0625,           0.0018841,          0.00037682,            0.099133,            0.066162,                   0,            0.002377,            0.002377,            0.002377
                 156,             0.10904,            0.063711,                   0,           0.0033333,              0.0625,           0.0018841,          0.00037682,            0.099133,            0.066162,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,             0.10972,            0.041358,                   0,           0.0033333,               0.125,            0.024839,           0.0072122,            0.099763,            0.064887,                   0,            0.002278,            0.002278,            0.002278
                 158,             0.10924,            0.065744,                   0,           0.0033333,               0.125,            0.024839,           0.0072122,            0.099763,            0.064887,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,             0.11129,            0.054311,                   0,           0.0033333,               0.125,            0.024839,           0.0072122,            0.099763,            0.064887,                   0,            0.002179,            0.002179,            0.002179
